"Time","pm2.5"
2025-02-18 13:30:00,2.17
2025-02-18 13:31:00,1.84
2025-02-18 13:32:00,3.23
2025-02-18 13:33:00,3.52
2025-02-18 13:34:00,3.38
2025-02-18 13:35:00,3.93
2025-02-18 13:36:00,3.46
2025-02-18 13:37:00,3.41
2025-02-18 13:38:00,3.28
2025-02-18 13:39:00,2.95
2025-02-18 13:40:00,2.93
2025-02-18 13:41:00,2.62
2025-02-18 13:42:00,2.73
2025-02-18 13:43:00,2.88
2025-02-18 13:44:00,3.12
2025-02-18 13:45:00,4.40
2025-02-18 13:46:00,5.22
2025-02-18 13:47:00,4.82
2025-02-18 13:48:00,4.25
2025-02-18 13:49:00,4.38
2025-02-18 13:50:00,4.27
2025-02-18 13:51:00,2.85
2025-02-18 13:52:00,4.75
2025-02-18 13:53:00,4.75
2025-02-18 13:54:00,4.95
2025-02-18 13:55:00,4.91
2025-02-18 13:56:00,5.24
2025-02-18 13:57:00,4.27
2025-02-18 13:58:00,5.70
2025-02-18 13:59:00,5.72
2025-02-18 14:00:00,5.23
2025-02-18 14:01:00,5.27
2025-02-18 14:02:00,5.51
2025-02-18 14:03:00,5.18
2025-02-18 14:04:00,3.17
2025-02-18 14:05:00,2.55
2025-02-18 14:06:00,3.04
2025-02-18 14:07:00,2.83
2025-02-18 14:08:00,2.87
2025-02-18 14:09:00,3.06
2025-02-18 14:10:00,5.00
2025-02-18 14:11:00,3.93
2025-02-18 14:12:00,3.44
2025-02-18 14:13:00,2.75
2025-02-18 14:14:00,2.85
2025-02-18 14:15:00,4.86
2025-02-18 14:16:00,5.50
2025-02-18 14:17:00,5.41
2025-02-18 14:18:00,4.89
2025-02-18 14:19:00,4.09
2025-02-18 14:20:00,5.52
2025-02-18 14:21:00,5.61
2025-02-18 14:22:00,5.12
2025-02-18 14:23:00,4.82
2025-02-18 14:24:00,5.27
2025-02-18 14:25:00,4.88
2025-02-18 14:26:00,5.61
2025-02-18 14:27:00,4.97
2025-02-18 14:28:00,6.04
2025-02-18 14:29:00,4.54
2025-02-18 14:30:00,4.59
2025-02-18 14:31:00,4.63
2025-02-18 14:32:00,4.65
2025-02-18 14:33:00,4.79
2025-02-18 14:34:00,4.70
2025-02-18 14:35:00,5.20
2025-02-18 14:36:00,4.68
2025-02-18 14:37:00,5.75
2025-02-18 14:38:00,4.54
2025-02-18 14:39:00,4.49
2025-02-18 14:40:00,4.25
2025-02-18 14:41:00,5.06
2025-02-18 14:42:00,7.63
2025-02-18 14:43:00,6.37
2025-02-18 14:44:00,4.90
2025-02-18 14:45:00,4.84
2025-02-18 14:46:00,12.9
2025-02-18 14:47:00,10.5
2025-02-18 14:48:00,7.46
2025-02-18 14:49:00,5.16
2025-02-18 14:50:00,5.93
2025-02-18 14:51:00,5.02
2025-02-18 14:52:00,5.18
2025-02-18 14:53:00,5.14
2025-02-18 14:54:00,4.66
2025-02-18 14:55:00,4.93
2025-02-18 14:56:00,5.63
2025-02-18 14:57:00,11.1
2025-02-18 14:58:00,10.3
2025-02-18 14:59:00,16.7
2025-02-18 15:00:00,20.5
2025-02-18 15:01:00,20.0
2025-02-18 15:02:00,16.6
2025-02-18 15:03:00,25.0
2025-02-18 15:04:00,24.1
2025-02-18 15:05:00,17.5
2025-02-18 15:06:00,16.7
2025-02-18 15:07:00,5.25
2025-02-18 15:08:00,6.81
2025-02-18 15:09:00,6.16
2025-02-18 15:10:00,6.89
2025-02-18 15:11:00,7.05
2025-02-18 15:12:00,5.55
2025-02-18 15:13:00,5.13
2025-02-18 15:14:00,4.95
2025-02-18 15:15:00,11.1
2025-02-18 15:16:00,6.01
2025-02-18 15:17:00,2.52
2025-02-18 15:18:00,2.29
2025-02-18 15:19:00,2.22
2025-02-18 15:20:00,9.02
