"Time","pm10"
2025-02-20 16:19:00,63.7
2025-02-20 16:20:00,30.1
2025-02-20 16:21:00,46.8
2025-02-20 16:22:00,11.6
2025-02-20 16:23:00,28.2
2025-02-20 16:24:00,21.2
2025-02-20 16:25:00,16.4
2025-02-20 16:26:00,41.7
2025-02-20 16:27:00,18.8
2025-02-20 16:28:00,14.7
2025-02-20 16:29:00,24.9
2025-02-20 16:30:00,20.8
2025-02-20 16:31:00,22.5
2025-02-20 16:32:00,377
2025-02-20 16:33:00,454
2025-02-20 16:34:00,278
2025-02-20 16:35:00,263
2025-02-20 16:36:00,247
2025-02-20 16:37:00,104
2025-02-20 16:38:00,21.9
2025-02-20 16:39:00,12.3
2025-02-20 16:40:00,24.0
2025-02-20 16:41:00,26.8
2025-02-20 16:42:00,49.1
2025-02-20 16:43:00,66.1
2025-02-20 16:44:00,47.6
2025-02-20 16:45:00,62.3
2025-02-20 16:46:00,53.3
2025-02-20 16:47:00,57.9
2025-02-20 16:48:00,65.0
2025-02-20 16:49:00,65.4
2025-02-20 16:50:00,60.3
2025-02-20 16:51:00,73.3
2025-02-20 16:52:00,69.0
2025-02-20 16:53:00,47.1
2025-02-20 16:54:00,23.4
2025-02-20 16:55:00,18.4
2025-02-20 16:56:00,18.2
2025-02-20 16:57:00,20.9
2025-02-20 16:58:00,40.3
2025-02-20 16:59:00,127
2025-02-20 17:00:00,61.3
2025-02-20 17:01:00,70.7
2025-02-20 17:02:00,37.6
2025-02-20 17:03:00,26.9
2025-02-20 17:04:00,41.0
2025-02-20 17:05:00,42.8
2025-02-20 17:06:00,46.2
2025-02-20 17:07:00,5.47
2025-02-20 17:08:00,14.1
2025-02-20 17:09:00,5.05
2025-02-20 17:10:00,13.2
2025-02-20 17:11:00,13.0
2025-02-20 17:12:00,10.2
2025-02-20 17:13:00,26.9
2025-02-20 17:14:00,16.5
2025-02-20 17:15:00,17.0
2025-02-20 17:16:00,21.5
2025-02-20 17:17:00,26.9
2025-02-20 17:18:00,20.4
2025-02-20 17:19:00,35.7
2025-02-20 17:20:00,21.4
2025-02-20 17:21:00,11.8
2025-02-20 17:22:00,18.1
2025-02-20 17:23:00,15.2
2025-02-20 17:24:00,12.6
2025-02-20 17:25:00,2.04
