"Time","pm1"
2025-02-20 16:19:00,5.79
2025-02-20 16:20:00,2.63
2025-02-20 16:21:00,2.72
2025-02-20 16:22:00,1.94
2025-02-20 16:23:00,4.64
2025-02-20 16:24:00,5.86
2025-02-20 16:25:00,5.86
2025-02-20 16:26:00,5.67
2025-02-20 16:27:00,5.53
2025-02-20 16:28:00,5.31
2025-02-20 16:29:00,5.15
2025-02-20 16:30:00,4.88
2025-02-20 16:31:00,5.16
2025-02-20 16:32:00,11.2
2025-02-20 16:33:00,11.2
2025-02-20 16:34:00,10.5
2025-02-20 16:35:00,9.72
2025-02-20 16:36:00,9.18
2025-02-20 16:37:00,7.38
2025-02-20 16:38:00,5.42
2025-02-20 16:39:00,5.82
2025-02-20 16:40:00,6.64
2025-02-20 16:41:00,7.26
2025-02-20 16:42:00,8.26
2025-02-20 16:43:00,7.74
2025-02-20 16:44:00,8.16
2025-02-20 16:45:00,9.10
2025-02-20 16:46:00,9.12
2025-02-20 16:47:00,8.47
2025-02-20 16:48:00,8.52
2025-02-20 16:49:00,7.91
2025-02-20 16:50:00,8.19
2025-02-20 16:51:00,9.71
2025-02-20 16:52:00,9.49
2025-02-20 16:53:00,7.95
2025-02-20 16:54:00,6.27
2025-02-20 16:55:00,5.32
2025-02-20 16:56:00,5.07
2025-02-20 16:57:00,5.15
2025-02-20 16:58:00,5.51
2025-02-20 16:59:00,4.39
2025-02-20 17:00:00,4.11
2025-02-20 17:01:00,4.35
2025-02-20 17:02:00,4.11
2025-02-20 17:03:00,3.92
2025-02-20 17:04:00,4.30
2025-02-20 17:05:00,6.05
2025-02-20 17:06:00,6.37
2025-02-20 17:07:00,2.42
2025-02-20 17:08:00,1.78
2025-02-20 17:09:00,1.79
2025-02-20 17:10:00,1.76
2025-02-20 17:11:00,1.67
2025-02-20 17:12:00,1.76
2025-02-20 17:13:00,5.89
2025-02-20 17:14:00,6.26
2025-02-20 17:15:00,6.26
2025-02-20 17:16:00,6.48
2025-02-20 17:17:00,6.48
2025-02-20 17:18:00,6.37
2025-02-20 17:19:00,6.77
2025-02-20 17:20:00,6.28
2025-02-20 17:21:00,6.27
2025-02-20 17:22:00,6.33
2025-02-20 17:23:00,6.46
2025-02-20 17:24:00,5.21
2025-02-20 17:25:00,1.90
